SKU,Model Number,Title,Mapped Product Type,Status
150524,MSB48,"48'' Width, 20"" Intake, Hydraulic Snow Blower for Mini Skid Steer, Remote Control Chute Rotation and Deflector, MSB48",Skid Steer Attachments,New
150602,MSG20,"20'' Flywheel Diameter Mini Skid Steer Stump Grinder with 24 Carbide Teeth, MSG20",Skid Steer Attachments,New
150270,DLA50,"50"" 3 Point Drum Filled Plug Aerator Fits Cat 1 And 2 Tractors,  DLA50",Aerators,Matched
150271,DLA60,"62"" 3 Point Drum Filled Plug Aerator Fits Cat 1 And 2 Tractors,  DLA60",Aerators,Matched
150210,FW8800,"8800lbs 3-Point Hitch Forestry Log Skidding Winch,  200ft Cable Length,  25-60 HP Tractor,  Category 1 Hookup,  FW8800",Winches,Matched
150255,DT4X8,"MechMaxx 2-Ton Capacity Heavy-Duty Dump Trailer,  DT4X8",Dump Trailers,New
150256,DT4X8W,"MechMaxx 2-Ton Capacity Heavy-Duty Dump Trailer,  DT4X8W",Dump Trailers,New
150250,CM5,"5 Cu-Ft 3-Point Hitch Cement Mixer, PTO Shaft Included, Category 1 & 2 Hookup",Concrete Mixers,New
150215,HB3120,"3-Point PTO Mini Round Hay Baler With Twine Wrap,   20"" Diameter x 28"" Width Bales,  For 15-50hp Tractor,  HB3120",Hay Balers,New
150216,HW20,"7HP 212cc Gasoline Engine Powered Bale Wrapper,  20 inch Wrapping Diameter,  HW20",Bale Wrappers,New
150217,HT100,"100"" Mechmaxx 3-Point Hitch 6 Rotary Pull-Type Hay Rake Tedder ,  15-50Hp ,  HT100",Hay Rakes,New
150231,DM6,"6FT 3-Point Disc Mower,  4 Disc,  35-80HP Tractor,  Cat.2,  DM6",Disc Mowers,New
150232,DM8,"8FT 3-Point Disc Mower,  6 Disc,  50-100HP Tractor,  Cat.2,  DM8",Disc Mowers,New
150218,"HB3120, HW20","Hay Baler & Hay Wrapper Bundle,  HB3120,  HW20",Agricultural Kits,Matched
150219,"HB3120, HT100","Hay Baler & Hay Rake Tedder Bundle,  HB3120,  HT100",Agricultural Kits,Matched
150220,"HB3120, HW20, HT100","Hay Baler & Hay Wrapper & Hay Rake Tedder  Bundle,  HB3120,  HW20,  HT100",Agricultural Kits,Matched
150233,"HB3120, HT100, DM6","Hay Baler & Hay Rake Tedder & Disc Mower Bundle,  HB3120,  HT100,  DM6",Agricultural Kits,Matched
150234,"HB3120, HT100, DM8","Hay Baler & Hay Rake Tedder & Disc Mower Bundle,  HB3120,  HT100,  DM8",Agricultural Kits,Matched
150235,DM53,"53'' 3-Point Drum Mower for Tractor, 25-40HP Tractor, DM53",Drum Mowers,New
150536,MEC06,"Mini Compact Excavator Loncin 300cc 9hp Engine, 43.3"" Max. Digging Depth, 0.6Ton, 1345 LBS Operating Weight, MEC06",Mini Excavators,New
150530,MEC10,"Mini Compact Excavator HONDA GX390 Engine,  65.7"" Max. Digging Depth, 1Ton, 2280 LBS Operating Weight,  MEC10",Mini Excavators,New
150531,MEC10,"Mini Compact Excavator B&S VANGUARD 408cc 14hp Engine,  65.7"" Max. Digging Depth, 1 Ton, 2370 LBS Operating Weight,  MEC10",Mini Excavators,New
150532,MEC12,"Mini Compact Excavator Kubota D722 Engine,  65.7"" Max. Digging Depth, 1.2 Ton, 2700 LBS Operating Weight,  MEC12",Mini Excavators,New
150533,MEC17,"Mini Compact Excavator Kubota D902 Engine,  89"" Max. Digging Depth, 1.7 Ton, 4145 LBS Operating Weight,  MEC17",Mini Excavators,New
150534,MEC17,"Mini Compact Excavator Kubota D902 Engine,  95"" Max. Digging Depth, 1.7 Ton, 4190 LBS Operating Weight,  MEC17PRO",Mini Excavators,New
150541,,4-Piece Mini Excavator Attachment Set for Mini Compact Excavator ( SKU: 150530; 150531; 150532 ),Excavator Attachments,New
150542,,"32x8"" Auger Attachment for Mini Compact Excavator ( SKU: 150530; 150531; 150532 )",Excavator Attachments,New
150543,,Hydraulic Hammer Breaker for Mini Compact Excavator ( SKU: 150530; 150531; 150532 ),Excavator Attachments,New
150544,,"32"" Tilt Bucket for Mini Compact Excavator MEC10/MEC12 ( SKU: 150530; 150531; 150532 )",Excavator Attachments,New
150545,,"Attachment Set for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Excavator Attachments,New
150546,,"31.5'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Excavator Buckets,New
150547,,"39'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Excavator Buckets,New
150548,,"47'' Width Digging Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Excavator Buckets,New
150549,,"Hydraulic Breaker Hammer for Mini Compact Excavator MEC17, MEC17PRO, 360 J Impact Energy, 700-1200 Bpm (SKU: 150533; 150534）",Hydraulic Breakers,New
150550,,"Three-Rod Auger for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Augers,Matched
150551,,"Tilting Bucket for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Excavator Buckets,New
150553,,"Compactor for Mini Compact Excavator MEC17, MEC17PRO (SKU: 150533; 150534）",Compactors,Matched
150554,,5-Piece Mini Excavator Attachment Set for Mini Compact Excavator (SKU: 150536),Excavator Attachments,New
200001,TC964,"1.5 HP Swing Arm Tire Changer Wheel Changer 24"" Rim Capacity,  TC964",Tire Changers,Matched
200002,TC966,"24"" Rim Swing Arm Tire Changer Wheel Changer with Bead Blaster,  TC966",Tire Changers,Matched
200027,TC9661,"24"" Rim Assist Arm Tire Changer Swing Arm Wheel Changer with Bead Blaster,  TC9661",Tire Changers,Matched
200005,TC9662,"24"" Rim Double Assist Arms Tire Changer Swing Arm Wheel Changer with Bead Blaster,  TC9662",Tire Changers,Matched
200006,TC968,"High Performance Tilt Back Tire Changer Wheel Changer with Bead Blaster,  TC968",Tire Changers,Matched
200028,TC9682,"High Performance Tilt Back Tire Changer Wheel Changer with Multi-Function Assist Arm and Bead Blaster,  TC9682",Tire Changers,Matched
200009,WB855,"10-24"" Rim Wheel Balancer Car Tire Balancing Machine 40 mm Shaft,  WB855",Wheel Balancers,New
200010,WB857,"10-24"" Rim Wheel Balancer Car Tire Balancing Machine 40 mm Shaft with Foot Pedal Brake,  Laser Guided and LED Illuminator,  WB857",Wheel Balancers,New
200029,TC964+WB855,"1.5 HP Swing Arm Tire Changer Wheel Balancer Bundle,  TC964,  WB855",Tire Changer and Balancer Bundles,New
200030,TC966+WB855,"24"" Rim Swing Arm Tire Changer Wheel Balancer Bundle,  TC966 ,  WB855",Tire Changer and Balancer Bundles,New
200031,TC9661+WB855,"24"" Rim Assist Arm Tire Changer Wheel Balancer Bundle,  TC9661,  WB855",Tire Changer and Balancer Bundles,New
200032,TC9662+WB855,"24"" Rim Double Assist Arms Tire Changer Wheel Balancer Bundle,  TC9662,  WB855",Tire Changer and Balancer Bundles,New
200033,TC968+WB855,"High Performance Tilt Back Tire Changer Wheel Balancer Bundle,  TC968,  WB855",Tire Changer and Balancer Bundles,New
200034,TC9682+WB855,"High Performance Tilt Back Tire Changer Wheel Balancer Bundle,  TC9682,  WB855",Tire Changer and Balancer Bundles,New
200035,TC968+WB857,"High Performance Tilt Back Tire Changer Wheel Balancer Bundle,  TC968,  WB857",Tire Changer and Balancer Bundles,New
200036,TC9682+WB857,"High Performance Tilt Back Tire Changer Wheel Balancer Bundle,  TC9682,  WB857",Tire Changer and Balancer Bundles,New
200037,TC9661+WB857,"24"" Rim Assist Arm Tire Changer Wheel Balancer Bundle,  TC9661,  WB857",Tire Changer and Balancer Bundles,New
200038,TC9662+WB857,"24"" Rim Double Assist Arms Tire Changer Wheel Balancer Bundle,  TC9662,  WB857",Tire Changers,Matched
201004,LP72,"72"" Heavy Duty Land Leveler Land Plane Scraper Grader with Shanks 3 Point Hitch,  LP72",Land Planes,New
201005,LP84,"84"" Heavy Duty Land Leveler Land Plane Scraper Grader with Shanks 3 Point Hitch,  LP84",Land Planes,New
201006,DH60,"60"" Tractor Notched Disc Harrow Disc Plow 3 Point Hitch,  DH60",Disc Harrows,Matched
201007,DH72,"72"" Tractor Notched Disc Harrow Disc Plow 3 Point Hitch,  DH72",Disc Harrows,Matched
201008,SS3S,"Heavy Duty 3 Shank Subsoiler Plow Ground Ripper 3 Point Hitch Cat1&2,  SS3S",Subsoilers,New
201019,BB60,"60"" Box Blade Scraper with 5 Shanks 3 Point Hitch Tractor Attachment,  BB60",Box Scrapers,New
201020,BB72,"72"" Box Blade Scraper with 6 Shanks 3 Point Hitch Tractor Attachment,  BB72",Box Scrapers,New
201021,BB84,"84"" Box Blade Scraper with 7 Shanks 3 Point Hitch Tractor Attachment,  BB84",Box Scrapers,New
201023,LR72,"72"" Landscape Rake with 36 Tines 3 Point Hitch Tractor Attachment,  LR72",Landscape Rakes,New
201024,LR84,"84"" Landscape Rake with 42 Tines 3 Point Hitch Tractor Attachment,  LR84",Landscape Rakes,New
201026,LR72W,"72"" Landscape Rake with Bolt-On Wheels & 36 Tines 3 Point Hitch Tractor Attachment, LR72W",Landscape Rakes,New
201027,LR84W,"84"" Landscape Rake with Bolt-On Wheels & 42 Tines 3 Point Hitch Tractor Attachment,  LR84W",Landscape Rakes,New
201035,CR82,"80"" Crimper Roller 3 Point Hitch Tractor Attachment Agriculture Equipment,  CR82",Crimper Rollers,New
201045,BB96,"96"" Box Blade Scraper with 8 Shanks 3 Point Hitch Tractor Attachment,  BB96",Box Scrapers,New
201001,PH19,"3 Point One Row Potato Harvester Potato Digger Picker PTO Driven,  PH19",Potato Harvesters,New
150162,BH660,"7' Tractor Backhoe Attachment with Mechanical Thumb,  12"" Bucket,  ISO/SAE Switchable Controls,  Self-Contained Hydraulic System,  3 Point Hitch Cat.1,  15-50 HP,  BH660M",Backhoe Attachments,New
150163,BH760,"8' Tractor Backhoe Attachment with Hydraulic Thumb,  15"" Bucket,  ISO/SAE Switchable Controls,  Self-Contained Hydraulic System,  3 Point Hitch Cat.1 & 2,  20-100 HP,  BH760H",Backhoe Attachments,New
150164,BH860,"9' Tractor Backhoe Attachment with Hydraulic Thumb,  15"" Bucket,  ISO/SAE Switchable Controls,  Self-Contained Hydraulic System,  3 Point Hitch Cat.1 & 2,  25-100 HP,  BH860H",Backhoe Attachments,New
201033,AHG72,"72"" Arena Spin Harrow Groomer with 35 Tines Cat.1 3 Point Hitch Grooming Attachment,  AHG72",Arena Harrows,New
201034,AHG72R,"72"" Arena Spin Harrow Groomer with 35 Tines and Rake Cat.1 3 Point Hitch Grooming Attachment,  AHG72R",Arena Harrows,New
201040,RB72SE,"72"" Heavy Duty 6-Way Rear Blade 3 Point Hitch Tractor Attachment,  RB72SE",Rear Blades,New
201041,RB84SE,"84"" Heavy Duty 6-Way Rear Blade 3 Point Hitch Tractor Attachment,  RB84SE",Rear Blades,New
201046,DSA60,"60"" Drum Spike Aerator Cat. 1 3-Point Hitch Tractor Attachment, DSA60",Aerators,Matched
201047,DSA72,"72"" Drum Spike Aerator Cat. 1 3-Point Hitch Tractor Attachment, DSA72",Aerators,Matched
201125,TSP60,"60"" Heavy Duty Soil Pulverizer,  Single Spiked Roller,  21 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP60",Soil Pulverizers,New
201126,TSP72,"72"" Heavy Duty Soil Pulverizer,  Single Spiked Roller,  25 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP72",Soil Pulverizers,New
201127,TSP84,"84"" Heavy Duty Soil Pulverizer,  Single Spiked Roller,  29 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP84",Soil Pulverizers,New
201128,TSP60D,"60"" Heavy Duty Soil Pulverizer,  Double Spiked Roller,  21 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP60D",Soil Pulverizers,New
201129,TSP72D,"72"" Heavy Duty Soil Pulverizer,  Double Spiked Roller,  25 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP72D",Soil Pulverizers,New
201130,TSP84D,"84"" Heavy Duty Soil Pulverizer,  Double Spiked Roller,  29 Shanks,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TSP84D",Soil Pulverizers,New
201131,TCP1060,"60"" Cultipacker with 26 Ductile Iron Wheels,  Scraper Bar Included,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TCP1060",Cultipackers,Matched
201132,TCP1072,"72"" Cultipacker with 32 Ductile Iron Wheels,  Scraper Bar Included,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TCP1072",Cultipackers,Matched
201133,TCP1084,"84"" Cultipacker with 37 Ductile Iron Wheels,  Scraper Bar Included,  Category 1 and 2,  3 Point Hitch Tractor Attachment,  TCP1084",Cultipackers,Matched
200060,HSP20,"20 Ton H-Frame Air/Hydraulic Shop Press with Press Pin Kit, Fully Welded Steel Frame, Safety Guard, Foot Pedal Control, HSP20",Hydraulic Shop Presses,New
200061,HSP30,"30 Ton H-Frame Air/Hydraulic Shop Press with Hand Winch & Press Pin Kit,  Fully Welded Steel Frame,  Safety Guard,  Foot Pedal Control,  HSP30",Hydraulic Shop Presses,New
200062,HSP50,"50 Ton H-Frame Air/Hydraulic Shop Press with Hand Winch & Press Pin Kit,  Fully Welded Steel Frame,  Safety Guard,  Foot Pedal Control,  HSP50",Hydraulic Shop Presses,New
200063,HSP75,"75 Ton H-Frame Air/Hydraulic Shop Press with Hand Winch,  Fully Welded Steel Frame,  Safety Guard,  Foot Pedal Control,  HSP75",Hydraulic Shop Presses,New
200064,HSP75E,"75 Ton H-Frame Electric Hydraulic Shop Press with Hand Winch, 110V Motor, Fully Welded Steel Frame, Safety Guard, HSP75E",Hydraulic Shop Presses,New
200065,HSP100,"100 Ton H-Frame Air/Hydraulic Shop Press with Hand Winch,  Fully Welded Steel Frame,  Safety Guard,  Foot Pedal Control,  HSP100",Hydraulic Shop Presses,New
200066,HSP100E,"100 Ton H-Frame Electric Hydraulic Shop Press with Hand Winch, 110V Motor, Fully Welded Steel Frame, Safety Guard, HSP100E",Hydraulic Shop Presses,New
200067,HSP150E,"150 Ton H-Frame Electric Hydraulic Shop Press with Double-Acting Cylinder & Chain-Driven Table Lift,  110V Motor,  Fully Welded Steel Frame,  Safety Guard,  HSP150E",Hydraulic Shop Presses,New
201115,HRT80,"80 in Heavy Duty Rotary Tiller,  3 Point Hitch Cat.2,  Gear Drive,  PTO Shaft Included with Slip Clutch,  40-80 HP,  HRT80",Rotary Tillers,Matched
201117,HRT90,"90 in Heavy Duty Rotary Tiller,  3 Point Hitch Cat.2,  Gear Drive,  PTO Shaft Included with Slip Clutch,  50-90 HP,  HRT90",Rotary Tillers,Matched
201119,RSB48,"48 in Stone Burier Reverse Rotary Tiller,  3 Point Hitch Cat.1,  Chain Drive,  PTO Shaft Included with Slip Clutch,  20-45 HP,  RSB48",Rotary Tillers,Matched
201121,RSB65,"65 in Stone Burier Reverse Rotary Tiller,  3 Point Hitch Cat.1,  Chain Drive,  PTO Shaft Included with Slip Clutch,  30-55 HP,  RSB65",Rotary Tillers,Matched
201123,FMS60,"60 in Orchard Finish Mower,  3 Point Hitch Cat.1,  Hydraulic Offset,  PTO Shaft Included with Shear Bolt,  20-45 HP,  FMS60",Finish Mowers,New
201124,FMS72,"72 in Orchard Finish Mower,  3 Point Hitch Cat.1,  Hydraulic Offset,  PTO Shaft Included with Shear Bolt,  25-50 HP,  FMS72",Finish Mowers,New
321001,CB-H1,33.9″ Wide CB-H1 Horizontal Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Clean Benches,New
321002,CB-V1,33.9″ Wide CB-V1 Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Clean Benches,New
321003,CB-H2,53.5″ Wide CB-H2 Horizontal Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321004,CB-V2,53.5″ Wide CB-V2 Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321005,CB-H1Pro,39″ Wide CB-H1Pro Horizontal Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321006,CB-V1Pro,39″ Wide CB-V1Pro Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321007,CB-H2Pro,57.5″ Wide CB-H2Pro Horizontal Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321008,CB-V2Pro,57.5″ Wide CB-V2Pro Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5,Laminar Flow Clean Benches,New
321009,CB-65Slim,"26"" Wide CB-65Slim Desktop Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5",Laminar Flow Clean Benches,New
321010,CB-80Slim,"31.9"" Wide CB-80Slim Desktop Vertical Laminar Flow Clean Bench with HEPA Filtration & UV Sterilization | ISO Class 5",Laminar Flow Clean Benches,New
300023,M10AC460,"10HP Rotary Screw Air Compressor - 32 CFM,  116 PSI,  460V 3-Phase | Industrial-Grade",Air Compressors,Matched
300022,M15AC460,"15HP Rotary Screw Air Compressor - 45 CFM,  116 PSI,  460V 3-Phase | Industrial-Grade",Air Compressors,Matched
300019,ML1046,"10HP Combined Rotary Screw Air Compressor with Dryer & 66-Gal ASME Tank | 32 CFM,  116 PSI,  460V 3-Phase - Industrial Grade",Air Compressors,Matched
300020,ML1546,"15HP Combined Rotary Screw Air Compressor with Dryer & 105-Gal ASME Tank | 45 CFM,  116 PSI,  460V 3-Phase - Industrial Grade",Air Compressors,Matched
331001,MF-47,"47"" Portable Industrial Fan with Variable High-Efficiency PMSM Motor,Mobile High Volume Floor Fan for Warehouse,Workshop & Gym",Industrial Fans,Matched
331002,MF-59,"59"" Portable Industrial Fan with Variable High-Efficiency PMSM Motor,Mobile High Volume Floor Fan for Warehouse,Workshop & Gym",Industrial Fans,Matched
331003,MF-59T,"59"" Portable Industrial Fan with Variable High-Efficiency PMSM Motor,Tiltable Mobile High Volume Floor Fan for Warehouse,Workshop & Gym",Industrial Fans,Matched
331004,MF-79,"79"" Portable Industrial Fan with Variable High-Efficiency PMSM Motor,Mobile High Volume Floor Fan for Warehouse,Workshop & Gym",Industrial Fans,Matched
331005,MF-79T,"79"" Portable Industrial Fan with Variable High-Efficiency PMSM Motor,Tiltable Mobile High Volume Floor Fan for Warehouse,Workshop & Gym",Industrial Fans,Matched
501000,PUD1624,16x24 Inch Commercial Pneumatic Dual Platen Heat Press - Auto Lift Digital Sublimation Transfer Machine with AIRTAC Pneumatic Parts & Adjustable Pressure (110V 2.2HP),Heat Presses,Matched
501001,PUD1624LCD,16x24 Inch Commercial Pneumatic Dual Platen Heat Press - Auto Lift Digital Sublimation Transfer Machine with Full Touch LCD Screen & AIRTAC Pneumatic Parts (110V 2.2HP),Heat Presses,Matched
501002,PUD1624-L,16x24 Inch Commercial Pneumatic Dual Platen Heat Press - Infrared Positioning Auto Lift Sublimation Transfer Machine Digital LCD Control (110V 2.2HP),Heat Presses,Matched
501003,PUD1624LCD-L,16x24 Inch Commercial Pneumatic Dual Platen Heat Press - Infrared Positioning Auto Lift Sublimation Transfer Machine with Full Touch LCD Screen  (110V 2.2HP),Heat Presses,Matched
501004,PUD1624-C,16x24 Inch Commercial Pneumatic Dual Platen Heat Press - Auto Lift Sublimation Transfer Machine with Storage Base Cabinet (110V 1650W),Heat Presses,Matched
501005,PUD2024,20x24 Inch (50x60cm) Commercial Pneumatic Dual Platen Heat Press Auto Lift Sublimation Transfer Machine with AIRTAC Pneumatic Components (110V 4HP),Heat Presses,Matched
501006,PUD2432,24x32 Inch (60x80cm) Industrial Pneumatic Dual Platen Heat Press - Auto Lift Digital Sublimation Transfer Machine (220V 8HP),Heat Presses,Matched
501007,PS2432S,24x32 Inch (60x80cm) Industrial Pneumatic Single Station Heat Press Slide-Out Worktable LCD Touchscreen Sublimation Machine with AIRTAC Pneumatic Components (220V 8HP),Heat Presses,Matched
501008,MS2432,"24""x32"" Large Format Manual Heat Press Machine 220V 6.4HP Digital Control for T-Shirts & Sublimation (No Plug)",Heat Presses,New
501009,MS2432,"32""x40"" (80x100cm) Large Format Manual Heat Press Machine - 220V 8.4HP/6300W for Sublimation & Heat Transfer MS2432",Heat Presses,New
501012,MS1624-A,"16""x24"" Manual Heat Press 110V 1.87HP/1400W - Teflon-Coated Aluminum Heating Plate,Aluminum Worktable, Digital Control for T-Shirts/Sublimation",Heat Presses,New
501011,MS1624-I,"16""x24"" (40x60cm) Manual Heat Press 110V 1.87HP/1400W - Teflon-Coated Aluminum Heating Plate, Iron Worktable, High Pressure for Heat Transfer",Heat Presses,New
501010,MD1624,"16""x24"" Auto Open Dual Platen Heat Press Machine 110V 1.87HP 1400W -Semi-Automatic Magnetic Lift & Digital LCD Display Teflon-Coated Ultra-Precision Heating for T-Shirts, Bags, Pillows, Ceramics",Heat Presses,New
501013,PC-30,"8 Gallon Air Compressor 600W 110V Oil-Free Quiet Electric Air Pump - 0.7MPa, 40L/min",Air Compressors,Matched
501014,120,"65"" Wide Format Full-Auto Cold & Heat Assisted Pneumatic Laminator Machine with 4 Trimmers, Max Speed 40ft/min, 63"" Max Width, 1.1"" Max Thickness, Infrared Heating, Digital Control Pneumatic Roller Lifting (Requires Air Compressor, Not Included) 1700-B1",Laminating Machines,New
501015,120,"65"" Wide Format Full-Auto Cold & Heat Assisted Pneumatic Laminator Machine with 4 Trimmers, Max Speed 40ft/min, 63"" Max Width, 1.1"" Max Thickness, Infrared Heating, Digital Control Pneumatic Roller Lifting (Requires Air Compressor, Not Included) 1700-B2",Laminating Machines,New
501016,250,"67"" Wide Format Full - Auto Cold & Heat Assisted Pneumatic Laminator Machine (Model 1700 - A1) with 4 Trimmers, Max Speed 65.6 ft/min, 63"" Max Width, 1.88"" Max Thickness, Infrared Heating, Digital Control (Requires Air Compressor, Not Included)-1700-A1",Laminating Machines,New
501017,1600-C1,"63"" Wide Format Pneumatic Laminator Manual Cold Laminating Machine 60"" Max Laminating Width,Pneumatic Roller Lift & Wear-Resistant Rubber Roller Portable Stand Included, 0.78"" Max Thickness (Requires Air Compressor, Not Included) 1600-C1",Laminating Machines,New
501018,1600-C2,"63"" Wide Format Pneumatic Laminator Manual Cold Laminating Machine 60"" Max Laminating Width,Pneumatic Roller Lift Portable Stand Included, 0.78"" Max Thickness (Requires Air Compressor, Not Included) 1600-C2",Laminating Machines,New
501019,1600-C3Pro,"63"" Wide Format Pneumatic Laminator Manual Cold Laminating Machine 60"" Max Laminating Width,Pneumatic Roller Lift Portable Stand Included, 0.78"" Max Thickness (Requires Air Compressor, Not Included) 1600-C3Pro",Laminating Machines,New
501020,1700-A3,"67"" Wide Format Full Auto Cold & Heat Assisted Pneumatic Laminator Machine with 4 Trimmers, Max Speed 52.5 ft/min, 63"" Max Laminating Width, 1.1"" Max Thickness, Infrared Heating, Digital Control (Requires Air Compressor, Not Included)-1700-A3",Laminating Machines,New
500200,VM18L,"6""x20'' Benchtop Mill Drill Machine, Variable Speed, R8 Spindle, 1 HP, 110V, Brushless Motor Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM18L",Mill Drill Machines,New
500201,VM18LD,"6""x20'' Benchtop Mill Drill Machine with DRO Brushless Motor, Variable Speed, R8 Spindle, 1 HP, 110V, Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM18LD",Mill Drill Machines,New
500202,VM25L,"7‘’ x 27-1/2‘’ Benchtop Mini Mill Drill Machine, Variable Speed, Brshless Motor, R8 Spindle, 1.5 HP, 110V, Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM25L",Mill Drill Machines,New
500203,VM25LD,"1.5HP 7‘’x 27-1/2‘’ Benchtop Mini Mill Drill Machine, Variable Speed, R8 Spindle, Brushless Motor, 110V, Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM25LD",Mill Drill Machines,New
500204,VM32L,"8-1/4""x33'' Industrial Benchtop Mill Drill Machine Brushless Motor, Variable Speed, R8 Spindle, 2 HP, 110V, Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM32L",Mill Drill Machines,New
500205,VM32LD,"8-1/4""x33'' Industrial Benchtop Mill Drill Machine with DRO, Variable Speed, Brushless Motor, R8 Spindle, 2 HP, 110V, Compact Milling Drilling Tool for Garage Shop, DIY Metalworking without Stand VM32LD",Mill Drill Machines,New
500003,0831V,1.5‘’ Spindle Bore Metal Lathe Machine 8'' x 16'' High Precision Brushless Motor Mini 1.5HP Benchtop 0-2500 RPM Variable Speed Metal Working Machine 1.5‘’ Spindle Bore Small Lathe without Stand 0831V,Lathes,Matched
500004,0831VD,1.5‘’ Spindle Bore Metal Lathe Machine with DRO 8'' x 16'' High Precision Brushless Motor Mini 1.5HP Benchtop 0-2500 RPM Variable Speed Metal Working Machine 1.5‘’ Spindle Bore Small Lathe without Stand 0831VD,Lathes,Matched
500014,1022V,10'' x 22'' Industrial Metal Lathe Machine High Precision Benchtop 1.5HP Brushless Motor 0-2000 RPM Variable Speed Metal Working Machine Small Lathe without Stand 1022V,Lathes,Matched
