Calculated Type,Status,Costway Type
Bassinets & Bedside Sleepers,New,Baby & Kids > Nursery Furniture > Bassinets & Bedside Sleepers
Bath Seats,Merged,Health & Beauty > Health Care > Bath Safety
Baths,New,Bath
Beach Chairs,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Beach & Lawn Chairs
Bed Frames,Merged,Furniture > Bedroom > Beds & Bed Frames > Simple Bed Frame
Bed Frames,Merged,Furniture > Bedroom > Beds & Bed Frames > Trundle Bed Frame
Bedding Sets,Merged,Furniture > Bedroom > Bedding
Bedroom Furniture,New,Furniture > Bedroom
Beds,Merged,Baby & Kids > Toddler & Kids Furniture > Toddler Beds
Beds,Merged,Furniture > Bedroom > Beds & Bed Frames
Beds,Merged,Furniture > Bedroom > Beds & Bed Frames > Bunk Bed Frame
Beverage And Wine Fridges,Merged,Appliances > Kitchen Appliances > Wine & Beverage Coolers
Bicycles,Merged,Toys & Hobbies > Ride On Toys > Balance Bikes
Bicycles,Merged,Toys & Hobbies > Ride On Toys > Kids Bike
Bird Cages,Merged,Pets > Bird Supplies
Blenders,Merged,Appliances > Kitchen Appliances > Small Appliances > Food Mixers & Blenders
Bookcases,Merged,Furniture > Home Office > Bookcases
Boxing Equipment,Merged,Sports > Strength Training > Boxing & Martial Arts
Camping Blankets,Merged,Outdoor > Camping > Camping Furniture
Carports,Merged,Outdoor > Outdoor Storage & Garages > Carports
Cat Cages,Merged,Pets > Cat Supplies > Cat Houses
Cat Supplies,New,Pets > Cat Supplies
Cat Trees,Merged,Pets > Cat Supplies > Cat Trees Condos & Scratchers
Cat Trees Condos & Scratchers,New,Pets > Cat Supplies > Cat Trees  Condos & Scratchers
Ceiling Fans,Merged,Decor > Lighting > Ceiling Fans
Chairs,Merged,Furniture > Kitchen & Dining > Dining Chairs
Chairs,Merged,Furniture > Living Room > Chairs > Floor Chairs
Chairs,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs
Chairs,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Patio Dining Chairs
Chaise Lounges,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Chaise Lounges
Changing Tables,Merged,Baby & Kids > Nursery Furniture > Changing Tables
Chicken Coops,Merged,Pets > Chicken Coops
Christmas Decor & Accessories,New,Decor > Holiday Decor > Christmas > Christmas Decor & Accessories
Christmas Trees,Merged,Decor > Holiday Decor > Christmas > Christmas Tree
Climate Control Appliances,New,Appliances > Climate Control Appliances
Coffee Tables,Merged,Furniture > Living Room > Coffee Tables
Patio Coffee Tables,Merged,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Coffee Tables
Cookware Sets,Merged,Kitchen > Cookware & Bakeware
Coolers,Merged,Outdoor > Camping > Coolers
Cornhole Sets,Merged,Toys & Hobbies > Outdoor Play > Lawn Games
Decorative Accessories,New,Decor > Decorative Accessories
Decorative Fencing & Flooring,New,Decor > Decorative Accessories > Decorative Fencing & Flooring
D�cor,New,Decor
Dehumidifiers,Merged,Appliances > Climate Control Appliances > Dehumidifiers
Desks,Merged,Furniture > Home Office > Office Desks
Desks,Merged,Furniture > Home Office > Office Desks > Computer Desks
Desks,Merged,Furniture > Home Office > Office Desks > Corner Desks
Desks,Merged,Furniture > Home Office > Office Desks > Gaming Desks
Desks,Merged,Furniture > Home Office > Office Desks > L-Shaped Desks
Desks,Merged,Furniture > Home Office > Office Desks > Standing Desks
Desks,Merged,Furniture > Home Office > Office Desks > Writing Desks
Dining Room Sets,Merged,Furniture > Kitchen & Dining > Dining Room Sets
Patio Dining Sets,Merged,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Dining Sets
Dining Tables,Merged,Furniture > Kitchen & Dining > Dining Tables
Patio Tables,Merged,Outdoor > Outdoor & Patio Furniture > Patio Tables > Patio Dining Tables
Dish Racks,New,Kitchen > Kitchen Organization > Dish Racks
Dog Kennels,Merged,Pets > Dog Supplies > Dog Kennels
Dog Supplies,New,Pets > Dog Supplies
Dressers,Merged,Furniture > Bedroom > Dressers & Chests
Drums,Merged,Toys & Hobbies > Musical Instruments > Drums & Percussion‎
Dryers,Merged,Appliances > Washers & Dryers > Dryers
Dumbbells,New,Sports > Strength Training > Dumbbells
Educational Robots,Merged,Toys & Hobbies > Learning Toys
Electric Fireplaces,Merged,Appliances > Climate Control Appliances > Fireplaces
Entryways,New,Furniture > Entryway
Evaporative Coolers,Merged,Appliances > Climate Control Appliances > Air Coolers
Exercise Bikes,Merged,Sports > Exercise Machines > Exercise Bikes
Exercise Equipment,Merged,Sports > Exercise Machines
Fabric Ottomans,Merged,Furniture > Living Room > Ottomans
Fans,Merged,Appliances > Climate Control Appliances > Fans
Fans,Merged,Appliances > Climate Control Appliances > Ventilation Fans
File Cabinets,Merged,Furniture > Home Office > File Cabinets
Fire Pits,Merged,Outdoor > Outdoor Heating > Fire Pits
Fire Pit Tables,Merged,Outdoor > Outdoor Heating > Fire Pits > Fire Pit Tables
Fireplace Tool Sets,Merged,Outdoor > Outdoor Heating > Fireplace Tools
Firewood Racks,Merged,Outdoor > Outdoor Heating > Log Storage
Folding Beds,Merged,Furniture > Bedroom > Beds & Bed Frames > Folding Beds
Food Warmers,Merged,Appliances > Kitchen Appliances > Food Warmers & Burners
Foot Massagers,Merged,Health & Beauty > Massage & Relaxation > Foot Massagers
Freezers,Merged,Appliances > Kitchen Appliances > Refrigerators & Freezers > Freezers
Furniture Covers,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Furniture Accessories
Furniture,New,Furniture
Game Tables,Merged,Toys & Hobbies > Game Room
Gaming Chairs,Merged,Furniture > Home Office > Gaming Chairs
Garages,New,Outdoor > Outdoor Storage & Garages > Garages
Garden Beds,Merged,Outdoor > Garden > Raised Garden Beds
Garden Carts,Merged,Outdoor > Garden > Garden Tools > Garden Carts
Garden Tools,Merged,Outdoor > Garden
Garden Tools,Merged,Outdoor > Garden > Garden Tools
Gazebos,Merged,Outdoor > Outdoor Shades > Canopies
Gazebos,Merged,Outdoor > Outdoor Shades > Gazebos
Golf,Merged,Sports > Golf
Grain Mills,Merged,Appliances > Kitchen Appliances > Small Appliances > Food Grinders & Mills
Greenhouses,Merged,Outdoor > Garden > Greenhouses
Grills,Merged,Outdoor > Outdoor Grills
Guitars,Merged,Toys & Hobbies > Musical Instruments > Guitar & Strings
Hall Trees,Merged,Furniture > Entryway > Coat Racks & Hall Trees
Halloween,New,Decor > Holiday Decor > Halloween
Hammocks,Merged,Outdoor > Outdoor & Patio Furniture > Hammocks
Headboards,Merged,Furniture > Bedroom > Beds & Bed Frames > Headboards
Health Cares,New,Health & Beauty > Health Care
Heat Pumps,Merged,Appliances > Climate Control Appliances > Heat Pumps
Heaters,Merged,Appliances > Climate Control Appliances > Space Heaters
Heaters,Merged,Outdoor > Outdoor Heating
High Chairs,Merged,Baby & Kids > Nursery Furniture > High Chairs
Home Indoor Plush Carpets,Merged,Decor > Decorative Accessories > Rugs
Home Office,New,Furniture > Home Office
Ice Makers,Merged,Appliances > Kitchen Appliances > Ice Makers
Ice Shavers,Merged,Appliances > Kitchen Appliances > Small Appliances > Ice Crushers & Shavers
Inflatables,Merged,Decor > Holiday Decor > Christmas > Christmas Inflatables
Inflatables,Merged,Toys & Hobbies > Outdoor Play > Bounce House
Inflatables,Merged,Toys & Hobbies > Outdoor Play > Inflatable Water Slides
Jewelry Armoires,Merged,Furniture > Bedroom > Jewelry Armoires
Juicers,Merged,Appliances > Kitchen Appliances > Small Appliances > Juicers & Coffee Machines
Kick Scooters,Merged,Toys & Hobbies > Ride On Toys > Scooters
Kids Furniture,Merged,Baby & Kids > Toddler & Kids Furniture
Kids Furniture,Merged,Baby & Kids > Toddler & Kids Furniture > Kids Chairs & Seating
Kids Luggage Sets,Merged,Baby & Kids > Kids Luggage
Kids Play Tables,Merged,Baby & Kids > Toddler & Kids Furniture > Kids Table & Chair Sets
Kids Storages,New,Baby & Kids > Toddler & Kids Furniture > Kids Storage
Kids Vanities,New,Baby & Kids > Toddler & Kids Furniture > Kids Vanities
Kitchen & Dining,New,Furniture > Kitchen & Dining
Kitchen Appliances,New,Appliances > Kitchen Appliances
Kitchen Hand Tools,Merged,Kitchen > Kitchen Tools
Kitchen Hand Tools,Merged,Kitchen > Kitchen Utensils
Kitchen Island Carts,Merged,Furniture > Kitchen & Dining > Kitchen Islands & Carts
Kitchen Organization,New,Kitchen > Kitchen Organization
Kitchen Playsets,Merged,Toys & Hobbies > Pretend Toys > Play Kitchen Sets
Kitchen,New,Kitchen
Kneeling Chairs,Merged,Furniture > Home Office > Office Chairs > Kneeling Chairs
Ladders,Merged,Outdoor > Garden > Garden Tools > Ladders
Laptop Tables & Printer Stands,New,Furniture > Home Office > Laptop Tables & Printer Stands
Laundry Hampers,Merged,Bath > Laundry Baskets
Lawn Mowers,Merged,Outdoor > Garden > Garden Tools > Lawn Care Tools
Light Fixtures,Merged,Decor > Lighting > Ceiling Lights
Living Room,New,Furniture > Living Room
Massage Chairs,Merged,Health & Beauty > Massage & Relaxation
Back Massagers,Merged,Health & Beauty > Massage & Relaxation > Back Massagers
Mattresses,Merged,Furniture > Bedroom > Mattresses
Mirrors,Merged,Decor > Mirrors > Wall Mirrors
Musical Toys,New,Toys & Hobbies > Musical Instruments > Musical Toys
Nursery Furnitures,New,Baby & Kids > Nursery Furniture
Office Chairs,Merged,Furniture > Home Office > Office Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Armless Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Big and Tall Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Conference Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Ergonomic Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Executive Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Leisure Chairs
Office Chairs,Merged,Furniture > Home Office > Office Chairs > Mesh Chairs
Outdoor Lighting Accessories,Merged,Decor > Decorative Accessories > Outdoor Decor
Outdoor Storage & Garage,New,Outdoor > Outdoor Storage & Garages
Outdoor Umbrellas,Merged,Outdoor > Outdoor Shades > Outdoor Umbrellas
Over Toilet Storage Cabinets,Merged,Bath > Over the Toilet Storage
Park Benches,Merged,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Outdoor Benches
Patio Furniture,Merged,Outdoor > Outdoor & Patio Furniture
Patio Furniture Sets,Merged,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets
Patio Furniture Sets,Merged,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Patio Conversation Sets
Patio Heaters,Merged,Outdoor > Outdoor Heating > Patio Heaters
Patio Rocking Chairs & Gliders,New,Outdoor > Outdoor & Patio Furniture > Outdoor Seating & Patio Chairs > Patio Rocking Chairs & Gliders
Patio Swings,Merged,Outdoor > Outdoor & Patio Furniture > Porch Swings
Pet Playpens,Merged,Pets > Dog Supplies > Pet Gate
Pets,New,Pets
Pianos,Merged,Toys & Hobbies > Musical Instruments > Pianos & Keyboards
Picnic Tables,Merged,Outdoor > Outdoor & Patio Furniture > Patio Tables > Picnic Tables
Plant Cages & Supports,Merged,Outdoor > Garden > Plant Supports
Plant Stands,Merged,Outdoor > Garden > Plant Stands
Playhouses,Merged,Toys & Hobbies > Pretend Toys > Play Tents & Playhouse
Playpens,Merged,Baby & Kids > Baby Activity > Baby Playpen & Playards
Playsets,Merged,Toys & Hobbies > Outdoor Play
Playsets,Merged,Toys & Hobbies > Outdoor Play > Swing & Playsets
Air Conditioners,Merged,Appliances > Climate Control Appliances > Portable Air Conditioners
Portable Toilets,Merged,Outdoor > Camping > Portable Toilets & Showers
Potting Tables,Merged,Outdoor > Garden > Potting Benches & Tables
Pressure Washers,Merged,Outdoor > Garden > Garden Tools > Pressure Washers
Pretend Toys,New,Toys & Hobbies > Pretend Toys
Rabbit Hutches,New,Pets > Rabbit Hutches
Recliners,Merged,Furniture > Living Room > Chairs > Recliners
Refrigerators,Merged,Appliances > Kitchen Appliances > Refrigerators & Freezers > Refrigerators
Refrigerators,New,Appliances > Kitchen Appliances > Refrigerators & Freezers
Ride On Toys,Merged,Toys & Hobbies > Ride On Toys > Powered Ride On Toys
Ride On Toys,Merged,Toys & Hobbies > Ride On Toys > Push & Pedal Ride On Toys
Roman Chairs,Merged,Sports > Yoga > Yoga Benches
Room Dividers,Merged,Decor > Decorative Accessories > Room Dividers
Rowing Machines,Merged,Sports > Exercise Machines > Rowing Machines
Safes,Merged,Furniture > Home Office > Safe Box
Salon Chairs,Merged,Health & Beauty > Massage & Relaxation > Spa & Salon
Sandboxes,Merged,Toys & Hobbies > Outdoor Play > Sandboxes
Saunas,Merged,Health & Beauty > Health Care > Sauna
Sewing Tables,Merged,Furniture > Home Office > Office Desks > Sewing Tables
Shoe Cabinets,Merged,Furniture > Entryway > Shoe Racks & Storage Benches
Nightstands,Merged,Furniture > Bedroom > Nightstands
Console Tables,Merged,Furniture > Entryway > Console Tables
Side Tables,Merged,Furniture > Living Room > End & Side Tables
Sideboards And Cabinets,Merged,Furniture > Kitchen & Dining > Sideboards  Cabinets & Buffets
Sideboards And Cabinets,Merged,Furniture > Living Room > Cabinets & Chests
Sinks,Merged,Bath > Bathroom Sinks
Slides,Merged,Toys & Hobbies > Indoor Play > Climbers & Slides
Small Appliances,New,Appliances > Kitchen Appliances > Small Appliances
Snow Sports Goggles,Merged,Sports > Winter Sports & Activities
Sofas,Merged,Furniture > Living Room > Sofas & Loveseats
Sofas,Merged,Outdoor > Outdoor & Patio Furniture > Patio Furniture Sets > Outdoor Sectionals
Sport Equipments,New,Sports > Sport Equipments
Sports,New,Sports
Stand Up Paddle Boards,Merged,Sports > Water Sports
Standing Clothes Drying Racks,Merged,Bath > Drying Racks
Storage Cabinets,Merged,Bath > Floor Cabinets
Storage Cabinets,Merged,Bath > Wall Cabinets
Storage Sheds,Merged,Outdoor > Outdoor Storage & Garages > Sheds & Outdoor Storage
Strength Training Equipment,Merged,Sports > Strength Training > Benches Racks & Bars
String Instruments,Merged,Toys & Hobbies > Musical Instruments
Strollers,Merged,Baby & Kids > Baby Strollers
Strollers,Merged,Baby & Kids > Baby Strollers > Compact Stroller
Strollers,Merged,Baby & Kids > Baby Strollers > Jogging Stroller
Strollers,Merged,Baby & Kids > Baby Strollers > Newborn Stroller
Surfing,New,Sports > Water Sports > Surfing
Swimming,New,Sports > Water Sports > Swimming
Swimming Pools,Merged,Outdoor > Swimming Pools
TV Stands,Merged,Furniture > Living Room > Entertainment Centers & TV Stands
Table Lamps,Merged,Decor > Lighting > Table & Floor Lamps
Tables,Merged,Furniture > Kitchen & Dining > Bar Tables
Tables,Merged,Outdoor > Outdoor & Patio Furniture > Patio Tables
Tents,Merged,Outdoor > Camping
Tents,Merged,Outdoor > Camping > Tents
Toaster Ovens,New,Appliances > Kitchen Appliances > Toaster Ovens
Toilets,Merged,Bath > Toilet
Towel Racks,Merged,Bath > Towel Racks
Training Mats,Merged,Sports > Yoga > Yoga & Gym Mats
Trampoline Accessories,New,Toys & Hobbies > Outdoor Play > Trampolines > Trampoline Accessories
Trampolines,Merged,Toys & Hobbies > Outdoor Play > Trampolines
Trash Cans,Merged,Kitchen > Kitchen Organization > Kitchen Trash Cans
Treadmills,Merged,Sports > Exercise Machines > Treadmills
Umbrella Bases,Merged,Outdoor > Outdoor Shades > Outdoor Umbrella Bases
Vacuums,Merged,Appliances > Vacuums & Cleaners
Vanities,Merged,Furniture > Bedroom > Makeup Vanities
Vibration Exercise Machines,New,Sports > Exercise Machines > Vibration Exercise Machines
Rollators,Merged,Health & Beauty > Health Care > Walkers & Rollators
Wardrobes,Merged,Furniture > Bedroom > Armoires & Wardrobes
Clothing & Closet Storage,Merged,Furniture > Bedroom > Clothing & Closet Storage
Washers & Dryers,New,Appliances > Washers & Dryers
Washing Machines,Merged,Appliances > Washers & Dryers > Washing Machines
Water Dispenser Systems,Merged,Appliances > Kitchen Appliances > Small Appliances > Water Dispensers
Watering Wands,Merged,Outdoor > Garden > Garden Tools > Watering & Irrigation
Weights Accessories,New,Sports > Strength Training > Weights Accessories
Wine Racks,Merged,Kitchen > Kitchen Organization > Wine Racks
Yoga Equipment,Merged,Sports > Yoga > Yoga Accessories
